PART NUMBER	NAME	MAKE/MODEL	CATEGORY
1620-17050(FCT-039)	Coupling/ Fan clutch	LAND CRUISER 70 Series	Japan/Aisin
220-40582	Clutch kit Lower	1HZ	Seiken(japan)
90942-02083	Wheel stand	LAND CRUISER 79	Aisin
23390-51070	Fuel Filter	LAND CRUISER 79	All Parts
90151-60013	Screw(water pump)	LAND CRUISER 79	Genuine
43207-60032	Knuckle kit/Blanket	Prado 1KD	Genuine
90214-42030	Stopper axle Washer	1HZ	Genuine
DTX-172	Clutch plate	2KD	Digue
T037A	Thrust washer(0.50)	LAND CRUISER 75 Tourist	Taiho
23390-51030	Fuel Filter	LAND CRUISER 79 New Model	Digue
R039A	Con Bearing(STD)	3L/5L/2L	Aisin
43401-60080	Stopper Axle	LAND CRUISER 79	Taiho
T720A	Thrust washer(0.25)	5L/3L	Taiho
M087H	Main Bearing(0.25)	5L/3L	Taiho
90915-03002	Oil Filter	LAND CRUISER 75 Tourist	Digue
12649/10	front Wheel Bearing	5L/3L	Genuine
47201-60A70	Brake Master cylinder	LAND CRUISER 79	Genuine
48829-60080	Bracket(Left)	LAND CRUISER 79	Genuine
SWT10108ZZ	Piston rings(STD)	LAND CRUISER 79	NPR
200701	Release Bearing	5L/3L	Digue
43212-60111	Knucle	LAND CRUISER 79(Old Model)(left hand)	Taiho
04495-60080	Brake Lining	LAND CRUISER 79 (NEW MODEL	All Parts
04493-60300	BMC kit	LAND CRUISER 79	Taiho
APO72	Brake Pads	7L	All Parts
90201-12019	Knucle washer	LAND CRUISER 79	All Parts
43212-60251	Knucle	LAND CRUISER 79 New Model(left hand)	GMB Japan
13715-17010	Exhaust Valve	7L	Genuine
4094w	Axle bearing (without con)	7L	Koyo japan
ZA-50TKB3505B1R-81`2	Release Bearing	LAND CRUISER 79	NSK
90311-95008	Seal(Rear crunk shaft seal)	1HZ/2KD/1KD	GMB Japan
90311-58006	Seal(Injector seal)	1KD/2KD	Koyo japan
36211-60090	Connector shaft	LAND CRUISER 79	MK
M042AI	Main Bearing(STD)	3L/5L/2L	OSK
90915-YZZD4	Oil Filter	1HZ	Genuine
90310-35010	Seal (Front tube seal)	Prado 1KD	Karson
M087H	Main Bearing(0.50)(0.25)	TD23/TD25/TD27	Taiho
35892	Piston rings(STD)	3L	MK
90915-10004	Oil Filter	RAV 4	Digue
35892	Piston rings(STD)	LAND CRUISER 75 Tourist	Tp(Japan)
48674-26040	Control Arm Bush	1HZ	Genuine
13711-54040	Exhaust Valve	7L	Genuine
